time,gps_sod,dE_m,dN_m,dU_m,d3_m,n_sat
2024-04-29T00:00:00,767620800.000000,2284602031.7128,-1801265437.9680,210090726.2505,2916865052.5146,9
2024-04-29T00:00:30,767620830.000000,10990871953.4643,-20214223823.8970,551149726.4373,23015600733.4374,9
2024-04-29T00:01:00,767620860.000000,16157223839.4984,-39925586813.2271,2199326536.2798,43127084318.2491,10
2024-04-29T00:01:30,767620890.000000,20589753197.1262,-59571207714.7646,5150147106.2846,63239155121.8908,11
2024-04-29T00:02:00,767620920.000000,24807163518.5311,-79017515704.7668,9396320997.0412,83351388700.2948,11
2024-04-29T00:02:30,767620950.000000,28965707605.8856,-98198194117.3354,14927751835.7472,103463690828.6438,11
2024-04-29T00:03:00,767620980.000000,33127706314.5892,-117052678958.5626,21731551092.5985,123576028783.6287,11
2024-04-29T00:03:30,767621010.000000,37322713282.4468,-135520483514.8234,29792055206.5157,143688388300.1105,11
2024-04-29T00:04:00,767621040.000000,41566477987.2221,-153540950149.6378,39090846046.3072,163800762237.9453,11
2024-04-29T00:04:30,767621070.000000,45868123214.0622,-171053584235.1288,49606774906.7865,183913146684.8340,10
2024-04-29T00:05:00,767621100.000000,50233269462.8523,-187998374184.4770,61315990213.4202,204025539364.0374,10
2024-04-29T00:05:30,767621130.000000,54665543726.4119,-204316043724.0806,74191968972.5659,224137938899.2208,10
2024-04-29T00:06:00,767621160.000000,59167369053.1293,-219948252589.0669,88205551880.6549,244250344442.3857,10
2024-04-29T00:06:30,767621190.000000,63740405154.1895,-234837763769.5925,103324982162.9587,264362755471.5280,10
2024-04-29T00:07:00,767621220.000000,68385807435.5807,-248928589530.7293,119515948536.5326,284475171674.0175,11
2024-04-29T00:07:30,767621250.000000,73104385967.3353,-262166123768.7785,136741632411.0483,304587592876.0820,11
2024-04-29T00:08:00,767621280.000000,77896706554.4941,-274497265402.5672,154962759177.9588,324700018998.4140,11
2024-04-29T00:08:30,767621310.000000,82763157054.3638,-285870535568.6749,174137653658.9837,344812450027.2321,10
2024-04-29T00:09:00,767621340.000000,87703991988.7558,-296236190197.7200,194222300019.1244,364924885994.8334,10
2024-04-29T00:09:30,767621370.000000,92719363279.7621,-305546328817.3629,215170406367.7819,385037326966.1644,10
2024-04-29T00:10:00,767621400.000000,97809342000.6018,-313755000089.3396,236933474042.9502,405149773029.3249,9
2024-04-29T00:10:30,767621430.000000,102973933855.6921,-320818304447.4113,259460871587.1211,425262224288.7050,9
2024-04-29T00:11:00,767621460.000000,108213090248.7571,-326694493851.2288,282699913578.3048,445374680859.9219,9
2024-04-29T00:11:30,767621490.000000,113526716295.6283,-331344068519.7279,306595944391.7867,465487142866.0150,9
2024-04-29T00:12:00,767621520.000000,118914676744.3265,-334729870505.0774,331092426824.6265,485599610434.5371,9
2024-04-29T00:12:30,767621550.000000,124376800140.1682,-336817174000.3206,356131035548.3928,505712083695.2982,9
2024-04-29T00:13:00,767621580.000000,129912881720.5003,-337573772194.8934,381651755282.8447,525824562778.5857,8
2024-04-29T00:13:30,767621610.000000,135522685347.0540,-336970060367.3755,407592983683.3764,545937047813.7443,8
2024-04-29T00:14:00,767621640.000000,141205944865.3405,-334979115079.2175,433891638679.5923,566049538928.0262,8
2024-04-29T00:14:30,767621670.000000,146962365118.2515,-331576769102.4324,460483270234.7446,586162036245.6469,8
2024-04-29T00:15:00,767621700.000000,152791622250.6257,-326741681551.8840,487302176705.4359,606274539886.9941,8
2024-04-29T00:15:30,767621730.000000,158693363525.5517,-320455402894.9765,514281525524.6262,626387049967.9662,7
2024-04-29T00:16:00,767621760.000000,164667206725.0448,-312702434516.8219,541353477951.1879,646499566599.4086,6
2024-04-29T00:16:30,767621790.000000,170712739123.4225,-303470282619.0114,568449317574.7030,666612089886.6371,6
2024-04-29T00:17:00,767621820.000000,176829516070.1515,-292749506213.5164,595499582262.4977,686724619929.0302,6
2024-04-29T00:17:30,767621850.000000,183017058903.7632,-280533759201.2006,622434199220.7563,706837156819.6772,6
2024-04-29T00:18:00,767621880.000000,189274852700.3497,-266819826376.0746,649182622730.9752,726949700645.0758,6
2024-04-29T00:18:30,767621910.000000,195602344016.7988,-251607652869.3433,675673974359.1884,747062251484.8594,6
2024-04-29T00:19:00,767621940.000000,201998938418.5663,-234900365991.0969,701837185628.3097,767174809411.5482,6
2024-04-29T00:19:30,767621970.000000,208463997775.5459,-216704288786.1855,727601142718.3130,787287374490.3346,7
2024-04-29T00:20:00,767622000.000000,214996837376.6179,-197028945950.8319,752894832253.5731,807399946778.9055,8
2024-04-29T00:20:30,767622030.000000,221596722138.7514,-175887063458.6466,777647487537.7974,827512526327.3020,8
2024-04-29T00:21:00,767622060.000000,228262862098.6154,-153294560823.0762,801788735202.8989,847625113177.7866,8
2024-04-29T00:21:30,767622090.000000,234994407423.3964,-129270535221.1090,825248741886.9412,867737707364.7336,8
2024-04-29T00:22:00,767622120.000000,241790442747.2627,-103837237801.0178,847958360346.5289,887850308914.5356,8
2024-04-29T00:22:30,767622150.000000,248649980765.7215,-77020042235.0609,869849274496.3829,907962917845.5298,8
2024-04-29T00:23:00,767622180.000000,255571954982.0547,-48847405646.4521,890854142892.8595,928075534167.9413,7
2024-04-29T00:23:30,767622210.000000,262555211674.8018,-19350821876.2718,910906740158.5450,948188157883.8424,6
2024-04-29T00:24:00,767622240.000000,269598500584.0299,11435232821.7242,929942095985.6840,968300788987.1262,6
2024-04-29T00:24:30,767622270.000000,276700464263.8178,43473361462.6293,947896631236.4775,988413427463.4958,7
2024-04-29T00:25:00,767622300.000000,283859626000.4773,76723315253.8533,964708290692.0693,1008526073290.4663,7
2024-04-29T00:25:30,767622330.000000,291074376058.8356,111142069494.1759,980316672059.2024,1028638726437.3816,7
2024-04-29T00:26:00,767622360.000000,298342955893.5444,146683906328.9654,994663150893.2888,1048751386865.4418,7
2024-04-29T00:26:30,767622390.000000,305663440259.8201,183300504194.3899,1007691001007.7994,1068864054527.7435,7
2024-04-29T00:27:00,767622420.000000,313033716461.3157,220941033766.3801,1019345510150.7954,1088976729369.3312,7
2024-04-29T00:27:30,767622450.000000,320451460281.5891,259552260367.5723,1029574090612.0973,1109089411327.2590,7
2024-04-29T00:28:00,767622480.000000,327914108135.2347,299078652752.3417,1038326384401.7969,1129202100330.6672,7
2024-04-29T00:28:30,767622510.000000,335418824470.1982,339462497910.1174,1045554362861.9974,1149314796300.8672,6
2024-04-29T00:29:00,767622540.000000,342962463869.3965,380644021428.5735,1051212420540.6442,1169427499151.4451,6
2024-04-29T00:29:30,767622570.000000,350541526598.6073,422561513587.0783,1055257463223.6373,1189540208788.3665,6
2024-04-29T00:30:00,767622600.000000,358152106126.7064,465151461470.2554,1057648989975.6438,1209652925110.0950,5
